frames,neutral,happy,sad,angry,fearful,disgusted,surprised
0,0.9999256134033203,7.35423673177138e-05,2.264050280587071e-08,2.3391385184368119e-07,5.234324258751588e-13,4.404497744303626e-08,4.945775344822323e-08
1,0.9998779296875,0.00011603290477069095,6.051354262126551e-07,1.0036691264758701e-06,1.271976014100007e-11,1.2133292557336972e-06,2.9958041523059364e-06
2,0.9999508857727051,4.587161311064847e-05,1.236481352862029e-07,1.0157526730836253e-06,9.558367118633893e-12,1.9876326007306488e-07,1.5343691757152556e-06
3,0.9999856352806091,1.4321088201540988e-05,3.895956446342552e-09,1.418800277264154e-08,8.547688991615739e-15,9.68948032920025e-09,3.199840392653641e-08
4,0.9999361038208008,5.990214049234055e-05,1.123872550579108e-07,8.613640716248483e-07,2.1638271036072965e-11,1.711912034352281e-07,2.377056716795778e-06
5,0.9998999238014221,9.752838377607986e-05,3.4289155337319244e-07,7.361411462625256e-07,5.884282210794067e-12,6.615462098125136e-07,1.090074079002079e-06
6,0.9999618530273438,3.783626380027272e-05,1.7447277400606254e-08,7.60703571245358e-08,3.2970530467043777e-14,1.8614583652265537e-08,1.3200575210703391e-07
7,0.9997677803039551,0.00022905426158104092,7.455910235876217e-07,3.6025645044901466e-07,2.1657561161125827e-11,6.869664161968103e-07,1.4092194078330067e-06
8,0.9994727373123169,0.0005223557818681002,2.6222351152682677e-06,5.49982360098511e-07,2.6373282030478506e-11,2.2074753758261068e-07,1.192028207697149e-06
9,0.9994966387748718,0.00042747659608721733,3.800345439231023e-05,1.4631119483965449e-05,7.651910749473245e-08,1.0035669220087584e-06,2.201254574174527e-05
10,0.9998340606689453,0.0001347973447991535,1.160850024461979e-05,5.9229464568488766e-06,2.402557086611523e-08,2.523928230857564e-07,1.3294239579408895e-05
11,0.993715763092041,0.0015270642470568419,8.315822196891531e-05,0.0012046681949868798,1.3586459317593835e-05,4.2388608562760055e-05,0.0034133964218199253
12,0.999585747718811,0.00016155991761479527,1.9754272670979844e-06,2.3098775272956118e-05,7.117948541690566e-08,3.6633064155466855e-06,0.00022398584405891597
13,0.9998646378517151,5.608544233837165e-05,8.702292575435422e-07,1.8081416783388704e-05,4.017188359739521e-09,7.308386784643517e-07,5.934715227340348e-05
14,0.9988967180252075,0.00015490729128941894,8.080217230599374e-05,0.00019489051192067564,3.8820890040369704e-06,5.065619006927591e-06,0.0006636432372033596
15,0.9993398189544678,0.0003395543317310512,2.3646882709726924e-06,4.703508238890208e-05,1.3192270387207827e-07,2.100707888530451e-06,0.00026877704658545554
16,0.9990357756614685,0.00022539164638146758,1.1018786608474329e-05,0.00014859155635349452,1.4144214901534724e-06,8.257560693891719e-06,0.0005695336731150746
17,0.9993231296539307,0.0002554003440309316,1.2229630556248594e-05,9.378375398227945e-05,2.6838631583814276e-07,3.147810502923676e-06,0.00031219134689308703
18,0.9974331259727478,0.00036678905598819256,7.417968390655005e-07,0.00015043090388644487,5.982948891869455e-07,3.4800243611243786e-06,0.0020448891445994377
19,0.9981997013092041,0.0003907600766979158,7.0529749791603535e-06,0.0001920633076224476,5.519556793842639e-07,1.3932470210420433e-05,0.0011959151597693563
20,0.9974466562271118,0.00046858840505592525,5.98188053118065e-05,0.0005281444173306227,1.0896288586081937e-05,5.656900611938909e-06,0.0014802705263718963
21,0.9991167783737183,0.00020258659787941724,1.4452346022153506e-06,0.00015768178855068982,1.7006463792768045e-07,6.8478825596685056e-06,0.0005142958834767342
22,0.9935862421989441,0.0011725695803761482,2.4102146198856644e-06,0.0010914475424215198,3.0071093988226494e-06,2.947729080915451e-05,0.004114796873182058
23,0.99723219871521,0.0009767671581357718,6.7418100115901325e-06,0.00023733620764687657,1.869204197646468e-06,1.5453430023626424e-05,0.001529606175608933
24,0.9964785575866699,0.0012914143735542893,1.828065433073789e-05,0.0011193215614184737,7.934076165838633e-06,1.9635279386420734e-05,0.0010649270843714476
25,0.9984881281852722,0.0007662437856197357,1.0145835403818637e-05,0.00017097742238547653,3.793724374645535e-07,1.2490849258028902e-05,0.0005517614772543311
26,0.9954835772514343,0.0017627400811761618,1.876972419267986e-05,0.0004568015574477613,8.963101549852581e-07,7.91704878793098e-05,0.0021980495657771826
27,0.9760624766349792,0.0019382734317332506,0.00030987849459052086,0.007837879471480846,0.0005275034927763045,0.0004809463571291417,0.012843087315559387
28,0.9989128708839417,0.00034630150184966624,3.5731929983739974e-06,0.00017115665832534432,1.6678789904744917e-07,1.188753049063962e-05,0.0005541362916119397
29,0.8689738512039185,0.002612517913803458,0.00027025683084502816,0.04201408103108406,0.0018176098819822073,0.0010355054400861263,0.0832761898636818
30,0.9967532753944397,0.0014353309525176883,2.0844227037741803e-05,0.000622049265075475,3.7200627502897987e-06,1.3990927072882187e-05,0.0011509268078953028
31,0.9995236992835999,0.00038491611485369503,1.725475704006385e-05,2.2443731722887605e-05,1.3231466766683297e-07,2.555635319367866e-06,4.883251676801592e-05
32,0.9987971782684326,0.0005652089603245258,1.8869584891945124e-05,0.00031219300581142306,5.180451694286603e-07,6.79545191815123e-05,0.00023829011479392648
33,0.9989795684814453,0.0005093222134746611,6.583833055628929e-06,5.4736763559048995e-05,4.4714957425640023e-07,1.9176379282725975e-05,0.0004300438449718058
34,0.9987928867340088,0.0009939231676980853,6.743022368027596e-06,0.00010375850251875818,1.1091690765852036e-07,2.3055894416756928e-05,7.937831833260134e-05
35,0.9992601871490479,0.0006268337601795793,5.14907187607605e-05,3.137464955216274e-05,1.449783582074815e-07,5.0642265705391765e-06,2.4826540538924746e-05
36,0.9972814321517944,0.0010267854668200016,0.0002559401618782431,0.00032378800096921623,1.399555344505643e-06,6.583149661310017e-05,0.0010448358952999115
37,0.9988848567008972,0.0007574468618258834,2.1680099962395616e-05,0.00010015534644480795,3.167816657878575e-07,3.276433199062012e-05,0.00020257855067029595
38,0.999314546585083,0.00045033771311864257,6.454742106143385e-06,0.0001056172332027927,6.532012974957979e-08,3.4459756079741055e-06,0.00011925340368179604
39,0.9994422793388367,0.0003705532872118056,1.2129057722631842e-05,0.00011830882431240752,2.6108230599675153e-07,1.1614519053182448e-06,5.5092983529902995e-05
40,0.998828649520874,0.0010240537812933326,1.057246026903158e-05,4.914384408039041e-05,2.3182343511507497e-07,5.089140358904842e-06,8.21790163172409e-05
41,0.999261200428009,0.0004900182248093188,1.2512418834376149e-05,8.195068221539259e-05,1.1841869707041042e-07,2.787245648505632e-06,0.0001510651782155037
42,0.9978412985801697,0.001680445042438805,0.00024450093042105436,0.00013980414951220155,1.330127190612984e-07,5.1846269343513995e-05,4.2163057514699176e-05
43,0.9984948039054871,0.0006476769922301173,9.159590990748256e-05,0.0005709385150112212,6.928100447112229e-06,1.0003030183725059e-05,0.0001780529273673892
44,0.9983503222465515,0.0005091509083285928,0.000572745397221297,0.00017048727022483945,5.473152214108268e-06,3.47662135027349e-05,0.00035715987905859947
45,0.9997735023498535,0.00016125848924275488,4.314188572607236e-06,1.4226638086256571e-05,3.20688755550691e-08,6.438098125727265e-07,4.6133893192745745e-05
46,0.9989891648292542,0.0009201050852425396,1.3709751328860875e-05,4.930214345222339e-05,7.159749060292597e-08,1.1410509614506736e-05,1.6219693861785345e-05
47,0.9975846409797668,0.0008903852431103587,9.810301708057523e-05,0.0006723091355524957,4.454578629520256e-06,1.9917084500775672e-05,0.0007302759913727641
48,0.9952050447463989,0.0010006309021264315,0.0002545214374549687,0.0010668809991329908,4.9489797675050795e-05,4.089673166163266e-05,0.002382494742050767
49,0.9949554204940796,0.0011551157804206014,5.734284786740318e-05,0.001987549476325512,3.649623249657452e-05,2.6800866180565208e-05,0.0017812354490160942
50,0.9977447390556335,0.0013863290660083294,1.2525842066679616e-05,0.00030640760087408125,1.1526682328621973e-06,1.3877430319553241e-05,0.0005351760773919523
51,0.9929189682006836,0.00038747923099435866,0.0005701269255951047,0.003176616970449686,0.00020930328173562884,2.5716291929711588e-05,0.0027116911951452494
52,0.9985443353652954,0.00032598909456282854,4.180018549959641e-06,0.0004089505528099835,1.0844379403351923e-06,3.417903599256533e-06,0.0007121080998331308
53,0.9796198606491089,0.0012751846807077527,0.0002654108393471688,0.003726394847035408,0.00015592726413160563,0.00011425823322497308,0.014842858538031578
54,0.9956499934196472,0.00015157523739617318,0.00014326114614959806,0.0012233882443979383,1.8899769202107564e-05,2.4903512894525193e-05,0.0027880396228283644
55,0.9613301753997803,0.0026507012080401182,0.00011267861555097625,0.006635864265263081,0.00017992802895605564,0.0005942197167314589,0.028496235609054565
56,0.9988648295402527,0.00030927499756217003,4.0544573494116776e-06,0.0002691687550395727,6.989547500779736e-07,8.488696948916186e-06,0.0005436512874439359
57,0.9889670014381409,0.0001115853083319962,4.483876546146348e-05,0.0013728804187849164,7.251629995153053e-06,0.00010917751933448017,0.009387243539094925
58,0.9929695129394531,0.0010253129294142127,1.4534759429807309e-05,0.0007666105520911515,5.527033863472752e-06,8.051271288422868e-05,0.005138029810041189
59,0.9976270198822021,0.00046319709508679807,1.2873079867858905e-05,0.00115695979911834,5.131576472194865e-06,5.414660790847847e-06,0.0007295618997886777
60,0.9918948411941528,0.00033147851354442537,0.00020314646826591343,0.004849956836551428,2.7226029487792403e-05,6.712677713949233e-05,0.0026262453757226467
61,0.997556746006012,0.0011866119457408786,5.502754447661573e-06,0.0003312978078611195,1.3949205595054082e-06,1.3610513633466326e-05,0.0009050783119164407
62,0.9986610412597656,0.0010563174728304148,7.678166730329394e-05,5.134616367286071e-05,1.3086169303733186e-07,4.726541374111548e-05,0.00010731541988207027
63,0.9988991022109985,0.00044102247920818627,0.00028908130479976535,0.00016716658137738705,1.9969277218478965e-06,7.396012370008975e-05,0.00012757876538671553
64,0.9998321533203125,0.0001383944763801992,1.8265604921907652e-06,2.281854540342465e-05,1.439506380762623e-08,8.810986855678493e-07,4.142887519265059e-06
65,0.9988843202590942,0.00035179773112758994,3.6147539503872395e-06,0.0002053843782050535,2.4574944745836547e-07,4.715921477327356e-06,0.0005500168190337718
